Database,Schema,ObjectNaam,ObjectType
SMI_SandBox,smi,EOBGebruikMSP,USER_TABLE
SMI_SandBox,smi,EOBLastVisitMSP,USER_TABLE
SMI_SandBox,smi,EOBVouchers,USER_TABLE
SMI_SandBox,smi,EOBEmails,USER_TABLE
SMI_SandBox,dbo,Factuurregels_AlleKlanten,USER_TABLE
SMI_SandBox,dbo,Factuurregels_SIVON,USER_TABLE
SMI_SandBox,dbo,Factuurregels_SIVON_test,USER_TABLE
SMI_SandBox,tps,LA_vw_tps_loc_alle,USER_TABLE
SMI_SandBox,smi,AssuKoppelLijst,USER_TABLE
SMI_SandBox,smi,LeftOverKoppelLijst,USER_TABLE
SMI_SandBox,smi,Licenties_NL,USER_TABLE
SMI_SandBox,smi,Licenties_NL_doc,USER_TABLE
SMI_SandBox,smi,LocatieDocenten,USER_TABLE
SMI_SandBox,smi,LocatieFuncties,USER_TABLE
SMI_SandBox,smi,LocatieLicenties,USER_TABLE
SMI_SandBox,dbo,LRNlineKlant,USER_TABLE
SMI_SandBox,dbo,m1Dr$,USER_TABLE
SMI_SandBox,dbo,m1Fl$,USER_TABLE
SMI_SandBox,dbo,m1Fr$,USER_TABLE
SMI_SandBox,dbo,m1Ge$,USER_TABLE
SMI_SandBox,dbo,m1Gr$,USER_TABLE
SMI_SandBox,dbo,m1Li$,USER_TABLE
SMI_SandBox,smi,M1NL,USER_TABLE
SMI_SandBox,dbo,m1NB$,USER_TABLE
SMI_SandBox,dbo,m1NH$,USER_TABLE
SMI_SandBox,dbo,m1Ov$,USER_TABLE
SMI_SandBox,dbo,m1Ut$,USER_TABLE
SMI_SandBox,dbo,m1Ze$,USER_TABLE
SMI_SandBox,dbo,m1ZH$,USER_TABLE
LA,ref,BrinKoppelLijst,USER_TABLE
SMI_SandBox,tps,OutputLA,USER_TABLE
SMI_SandBox,smi,PO_MO_Lic_hlp,USER_TABLE
SMI_SandBox,smi,PO_MO_Lic,USER_TABLE
SMI_SandBox,tps,ScholenPlus,USER_TABLE
smi_sandbox,tps,tpsOrgBrin6$,USER_TABLE
SMI_SandBox,wpr,TabelMailingResultaat,USER_TABLE
SMI_SandBox,wpr,TabelMailings2,USER_TABLE
SMI_SandBox,wpr,TabelMailings,USER_TABLE
SMI_SandBox,thas,MeThaThieme,USER_TABLE
SMI_SandBox,Thas,ThasEditionBrin,USER_TABLE
SMI_SandBox,smi,ThiemoMethods,USER_TABLE
SMI_SandBox,tps,DigiDeliveryID_Relatienummer,USER_TABLE
SMI_SandBox,tps,tps_account_plus,USER_TABLE
SMI_SandBox,lic,licenties_actueel,USER_TABLE
SMI_SandBox,lic,UID_ASSU_CPI_Schoolname,USER_TABLE
SMI_SandBox,lic,UID_ASSU_HMT_DCLL,USER_TABLE
SMI_SandBox,lic,UID_ASSU_Schoolname,USER_TABLE
SMI_SandBox,lic,UID_docent,USER_TABLE
SMI_SandBox,lic,UID_leerling,USER_TABLE
SMI_SandBox,smi,View_Account360_bkl_2020_EAN_BO_00020,USER_TABLE
SMI_SandBox,smi,View_Account360_bkl_2020_EAN_BO_00008,USER_TABLE
SMI_SandBox,smi,View_Account360_bkl_2020_EAN_BO_00013,USER_TABLE
SMI_SandBox,dbo,PrijsArtikelnummerJaar,USER_TABLE
SMI_SandBox,smi,View_Account360_bkl_2020_EAN_BO_00018,USER_TABLE
SMI_SandBox,smi,View_Account360_bkl_2020_EAN_BO,USER_TABLE
SMI_SandBox,smi,View_Account360_bkl_2020_EAN_BO_00019,USER_TABLE
SMI_SandBox,smi,View_Account360_bkl_2020_EAN_BO_00078,USER_TABLE
SMI_SandBox,smi,View_Account360_bkl_2020_EAN_BO_00077,USER_TABLE
SMI_SandBox,smi,View_Account360_bkl_2020_EAN_BO_00006,USER_TABLE
SMI_SandBox,smi,View_Account360_bkl_2020_EAN_BO_00115,USER_TABLE
SMI_SandBox,dbo,View_FctLicenties_ProefLicenties,USER_TABLE
SMI_SandBox,lic,View_Fctlicenties_proeflicenties,USER_TABLE
SMI_SandBox,dbo,View_QueryVKPO_BEX,USER_TABLE
SMI_SandBox,smi,View_QueryVKPO_BEX,USER_TABLE
SMI_SandBox,fnl,Clickwaarde,USER_TABLE
SMI_SandBox,smi,Clickwaarde,USER_TABLE
SMI_SandBox,fnl,DoelgroepLicentiePersoonlijk,USER_TABLE
SMI_SandBox,fnl,TouchpointsDatum,USER_TABLE
SMI_SandBox,fnl,Incident,USER_TABLE
SMI_SandBox,fnl,Events,USER_TABLE
SMI_SandBox,fnl,VKactivity,USER_TABLE
SMI_SandBox,fnl,orders,USER_TABLE
SMI_SandBox,fnl,DMOpens,USER_TABLE
SMI_SandBox,fnl,DMClicks,USER_TABLE
SMI_SandBox,fnl,DMSents,USER_TABLE
SMI_SandBox,smi,Events,USER_TABLE
CRMOnline,dbo,incident,USER_TABLE
SMI_SandBox,smi,DoelgroepLicentiePersoonlijk,USER_TABLE
SMI_SandBox,fnl,Funnelwaardering,USER_TABLE
SMI_SandBox,smi,DoelgroepBestandFunnel,USER_TABLE
SMI_SandBox,smi,DoelgroepBestand,USER_TABLE
SMI_SandBox,smi,LeerbehoefteKorteOmschrijvingen,USER_TABLE
SMI_SandBox,fnl,TouchpointsFunnel,USER_TABLE
SMI_SandBox,smi,ActiveringDocenten,USER_TABLE
BI_PRD_SA,pri,LICLOG10_LICENTIELOG,USER_TABLE
SMI_SandBox,dbo,LICLOG10_LICENTIELOG,USER_TABLE
THIEME,DWHPRDD,LICLOG10_LICENTIELOG,USER_TABLE
SMI_SandBox,smi,ActiveringLeerlingen,USER_TABLE
SMI_SandBox,smi,BelContacten,USER_TABLE
SMI_SandBox,smi,BijwerkenVerkoopkansenPO,USER_TABLE
SMI_SandBox,smi,BijwerkenVerkoopkansen,USER_TABLE
SMI_SandBox,smi,Boekenlijst2022,USER_TABLE
SMI_SandBox,smi,BusinessFunctionsDoelgroep,USER_TABLE
BI_PRD_SA,crm,BusinessFunction,USER_TABLE
SMI_SandBox,smi,ActieveDocenten,USER_TABLE
SMI_SandBox,smi,Touchpointskeylabel$,USER_TABLE
SMI_SandBox,smi,DoelgroepHiearchie,USER_TABLE
SMI_SandBox,dbo,DocentenToegang_CRM,USER_TABLE
SMI_SandBox,smi,Doelgroep_Relatie_LeerbehoefteCode_Locatie,USER_TABLE
SMI_SandBox,dbo,LeerBehoefte_Mapping,USER_TABLE
SMI_SandBox,wpr,FunnelStatusTabel,USER_TABLE
SMI_SandBox,fnl,FunnelStatusOrde,USER_TABLE
SMI_SandBox,smi,GA_2017-2018_Chapters,USER_TABLE
SMI_SandBox,smi,GA_chapters,USER_TABLE
SMI_SandBox,smi,LBCelloc,USER_TABLE
SMI_SandBox,LIC,LicentiesActueel_EOB,USER_TABLE
SMI_SandBox,smi,LicentiesActueel_PBI_PO_groep,USER_TABLE
SMI_SandBox,smi,LicentiesActueel_PBI_PO_Locatie,USER_TABLE
SMI_SandBox,pbi,QueryVK,USER_TABLE
SMI_SandBox,dbo,PO_Reinders,USER_TABLE
SMI_SandBox,dbo,PO_Heutink$,USER_TABLE
SMI_SandBox,dbo,PO_RolfAM$,USER_TABLE
SMI_Sandbox,smi,Servicing_CCCD,USER_TABLE
SMI_SandBox,smi,RayonResp$,USER_TABLE
SMI_SandBox,smi,Touchpoints,USER_TABLE
SMI_SandBox,smi,Realisatie2019,USER_TABLE
SMI_SandBox,smi,Realisatie2020,USER_TABLE
SMI_SandBox,smi,Realisatie2021,USER_TABLE
SMI_SandBox,smi,RecentEditionGebruik,USER_TABLE
LA,ds,UserUsesEditionWeekMethode,USER_TABLE
SMI_SandBox,dbo,ED2020januari,USER_TABLE
SMI_SandBox,dbo,ED2020februari,USER_TABLE
SMI_SandBox,dbo,ED_gebruik,USER_TABLE
SMI_SandBox,dbo,EDaugustus,USER_TABLE
SMI_SandBox,dbo,ED2020Maart,USER_TABLE
SMI_SandBox,dbo,EDaugustus2,USER_TABLE
SMI_SandBox,smi,RecentEditionGebruikContent,USER_TABLE
SMI_SandBox,fnl,RisicoOnderwerp_2022,USER_TABLE
SMI_SandBox,lic,Specificaties_Activeringen,USER_TABLE
SMI_SandBox,dbo,Targets_AmVerdeling,USER_TABLE
SMI_SandBox,dbo,Targets_Patronen,USER_TABLE
SMI_SandBox,dbo,Targets_SMI,USER_TABLE
SMI_SandBox,smi,Target_Patroon,USER_TABLE
SMI_SandBox,dbo,PeriodeTabel,USER_TABLE
SMI_SandBox,smi,Targets_Tabel,USER_TABLE
SMI_SandBox,smi,Target_Export,USER_TABLE
SMI_SandBox,smi,Target_methode,USER_TABLE
SMI_SandBox,smi,TouchpointsDatum,USER_TABLE
SMI_SandBox,smi,TouchpointsDoelgroep,USER_TABLE
SMI_SandBox,smi,TouchpointsDoelgroepHlp,USER_TABLE
SMI_SandBox,smi,TouchpointsEigenaren,USER_TABLE
SMI_SandBox,smi,TouchpointsFunnel,USER_TABLE
SMI_SandBox,smi,TouchpointsOntwikkeling,USER_TABLE
SMI_SandBox,smi,TouchpointsTrend,USER_TABLE
SMI_SandBox,lic,UniekeGebruikers,USER_TABLE
SMI_SandBox,lic,voucher10,USER_TABLE
SMI_SandBox,lic,VoucherActivering,USER_TABLE
SMI_SandBox,lic,ASSU_CRMAccountID,USER_TABLE
SMI_SandBox,smi,Boekenlijst2021,USER_TABLE
SMI_SandBox,bgr,SwitchKansbijOverstap,USER_TABLE
SMI_SandBox,bgr,SwitchKansType,USER_TABLE
SMI_SandBox,bgr,SwitchKansbijOverstapInvullen,USER_TABLE
SMI_SandBox,bgr,SwitchKansNaarInvoerjaar,USER_TABLE
SMI_SandBox,bgr,AlgemeneSwitchKansNaarInvoerjaar,USER_TABLE
SMI_SandBox,crm,LeerlingAantallen,USER_TABLE
SMI_SandBox,dbo,Licresultaat,USER_TABLE
SMI_SandBox,lic,Licenties_actueel_oud,USER_TABLE
SMI_SandBox,crm,ProductGebruik1,USER_TABLE
SMI_SandBox,dbo,OmzetQuery,USER_TABLE
SMI_SandBox,gba,MethodeOnderzoekData,USER_TABLE
SMI_SandBox,gba,pomethodes17,USER_TABLE
SMI_SandBox,smi,omcoderingMO20_Method20,USER_TABLE
SMI_SandBox,dbo,upload PO Mart,USER_TABLE
SMI_SandBox,dbo,upload BO Marleen,USER_TABLE
SMI_Sandbox,smi,BrinRelatieLijst_oud,USER_TABLE
SMI_SandBox,dbo,MSPextraextra,USER_TABLE
SMI_SandBox,smi,BrinRelatieLijst,USER_TABLE
SMI_SandBox,dbo,MSPExtraRel,USER_TABLE
SMI_SandBox,smi,LicentiesActueel_Docenten,USER_TABLE
SMI_SandBox,smi,Gebruik_DG_LC,USER_TABLE
SMI_SandBox,smi,Gebruik_DG_LC_hulp,USER_TABLE
SMI_SandBox,smi,JBP_Iddink,USER_TABLE
SMI_SandBox,smi,onderwijslocaties,USER_TABLE
SMI_SandBox,dbo,OpnieuwBestellen2018,USER_TABLE
SMI_SandBox,smi,MissingRelatienummer,USER_TABLE
SMI_SandBox,lic,ulo,USER_TABLE
SMI_SandBox,bkl,'Lijsten 2223 2022-04-01  gereed$',USER_TABLE
SMI_SandBox,dbo,itemex$,USER_TABLE
SMI_SandBox,bkl,TLN_schoolnummer_relatienummer,USER_TABLE
SMI_SandBox,bkl,ODJ_schoolnummer_relatienummer,USER_TABLE
SMI_SandBox,bkl,LeerbehoefteMapping,USER_TABLE
SMI_SandBox,bkl,'Layout a VO20220407$',USER_TABLE
SMI_SandBox,bkl,'TM Boekenlijstgegevens maart 2022$',USER_TABLE
SMI_SandBox,bkl,BoekenlijstVoorlopig,USER_TABLE
SMI_SandBox,bkl,BoekenLijstVoorlopig3,USER_TABLE
SMI_SandBox,bkl,BoekenLijstVoorlopig4,USER_TABLE
SMI_SandBox,bkl,BoekenLijstVorigjaar,USER_TABLE
SMI_Sandbox,bkl,BoekenlijstVoorlopigMethodeVGL,USER_TABLE
SMI_SandBox,bkl,SchoolMethodeLeerjaarLeerbehoefteNu,USER_TABLE
SMI_SandBox,bkl,SchoolMethodeLeerjaarLeerbehoefteVergelijk,USER_TABLE
SMI_SandBox,bkl,SchoolMethodeLeerjaarLeerbehoefteVorig,USER_TABLE
SMI_SandBox,bkl,BoekenLijstVoorlopig2,USER_TABLE
SMI_SandBox,bkl,BoekenLijstVoorlopigTotaal,USER_TABLE
SMI_SandBox,bkl,BoekenLijstVoorlopigTotaalMethode,USER_TABLE
SMI_SandBox,bkl,'Layout a VO20220507$',USER_TABLE
SMI_SandBox,bkl,'TM Boekenlijstgegevens april 2022$',USER_TABLE
SMI_SandBox,bkl,'Layout a VO20220607$',USER_TABLE
SMI_SandBox,bkl,'TM Boekenlijstgegevens Juni 2022$',USER_TABLE
SMI_SandBox,bkl,'Lijsten 2223 2022-06-01  gereed$',USER_TABLE
SMI_SandBox,bkl,'Layout a VO20220707$',USER_TABLE
SMI_SandBox,bkl,'TM Boekenlijstgegevens Juli 2022$',USER_TABLE
SMI_SandBox,bkl,'TM Boekenlijstgegevens Jul 2021$',USER_TABLE
SMI_SandBox,bkl,'Lijsten 2122 2021-06-30  gereed$',USER_TABLE
SMI_SandBox,bkl,'Layout a VO20210709$',USER_TABLE
SMI_SandBox,bkl,'TM Boekenlijstgegevens sep 2021$',USER_TABLE
SMI_SandBox,bkl,'Layout a VO20211101$',USER_TABLE
SMI_SandBox,bkl,'Lijsten 2122 2021-11-01  gereed$',USER_TABLE
BI_PRD_DWH,dbo,View_Fctlicenties_ProefLicenties,USER_TABLE
SMI_SandBox,dbo,projecten_20170303,USER_TABLE
SMI_SandBox,dbo,VDE_Angela,USER_TABLE
SMI_SandBox,dbo,vdelinkoud,USER_TABLE
SMI_SandBox,dbo,vkaanpassen1$,USER_TABLE
SMI_SandBox,dbo,abolijstVDE201609,USER_TABLE
SMI_SandBox,smi,LicentiesActueel_DWH,USER_TABLE
SMI_SandBox,lic,GebruikMSP,USER_TABLE
SMI_SandBox,lic,HoofdmethodeMSP,USER_TABLE
SMI_SandBox,wpr,5c07c67ab2f5d_20181205,USER_TABLE
SMI_SandBox,dbo,stap3,USER_TABLE
SMI_SandBox,dbo,stap1,USER_TABLE
SMI_SandBox,dbo,stap2,USER_TABLE
SMI_SandBox,smi,BackwardKans,USER_TABLE
SMI_SandBox,dbo,basisVK20200318_VOF1,USER_TABLE
SMI_SandBox,dbo,basisVK20190130_Carmel,USER_TABLE
SMI_sandbox,dbo,ni23,USER_TABLE
SMI_SandBox,dbo,BKLABO,USER_TABLE
SMI_SandBox,dbo,BasisVK20200811Klanten,USER_TABLE
SMI_SandBox,dbo,BasisVK20200316Klanten,USER_TABLE
SMI_SandBox,dbo,basisVK20200819Klanten,USER_TABLE
SMI_SandBox,smi,LicentiesActueel_DWH_methode,USER_TABLE
SMI_SandBox,dbo,Bel_BO_20160119,USER_TABLE
SMI_SandBox,dbo,BELBOVKgeleverd20160120,USER_TABLE
SMI_SandBox,dbo,VKID_BO_new_20160418,USER_TABLE
SMI_SandBox,dbo,GotItRek_NB,USER_TABLE
SMI_SandBox,smi,LeerbehoefteAanbod,USER_TABLE
SMI_SandBox,dbo,SBABestellingen,USER_TABLE
SMI_SandBox,dbo,TM Boekenlijstgegevens JUNI 2019$,USER_TABLE
smi_sandbox,dbo,MethodeperceelA$,USER_TABLE
SMI_SandBox,dbo,TM Boekenlijstgegevens MEI 2019$,USER_TABLE
SMI_SandBox,dbo,VakIddink$,USER_TABLE
SMI_SandBox,dbo,onderwijsIddink$,USER_TABLE
